"partner","geo","values","iso2","type"
"Iceland","Estonia",0,"EE","incoming"
"Iceland","Greece",0,"EL","incoming"
"Iceland","Spain",NA,"ES","incoming"
"Iceland","Finland",NA,"FI","incoming"
"Iceland","France",4,"FR","incoming"
"Iceland","Croatia",0,"HR","incoming"
"Iceland","Hungary",0,"HU","incoming"
"Iceland","Ireland",0,"IE","incoming"
"Iceland","Iceland",NA,"IS","incoming"
"Iceland","Italy",NA,"IT","incoming"
"Iceland","Liechtenstein",0,"LI","incoming"
"Iceland","Lithuania",0,"LT","incoming"
"Iceland","Luxembourg",0,"LU","incoming"
"Iceland","Latvia",0,"LV","incoming"
"Iceland","Malta",1,"MT","incoming"
"Iceland","Netherlands",NA,"NL","incoming"
"Iceland","Norway",NA,"NO","incoming"
"Iceland","Poland",NA,"PL","incoming"
"Iceland","Portugal",NA,"PT","incoming"
"Iceland","Romania",0,"RO","incoming"
"Iceland","Sweden",0,"SE","incoming"
"Iceland","Slovenia",0,"SI","incoming"
"Iceland","Slovakia",0,"SK","incoming"
"Iceland","United Kingdom",0,"UK","incoming"
"Italy","Austria",NA,"AT","incoming"
"Italy","Belgium",3,"BE","incoming"
"Italy","Bulgaria",0,"BG","incoming"
"Italy","Switzerland",1,"CH","incoming"
"Italy","Cyprus",NA,"CY","incoming"
"Italy","Czech Republic",NA,"CZ","incoming"
"Italy","Germany (until 1990 former territory of the FRG)",1,"DE","incoming"
"Italy","Denmark",0,"DK","incoming"
"Italy","Estonia",0,"EE","incoming"
"Italy","Greece",0,"EL","incoming"
"Italy","Spain",NA,"ES","incoming"
"Italy","Finland",NA,"FI","incoming"
"Italy","France",1,"FR","incoming"
"Italy","Croatia",0,"HR","incoming"
"Italy","Hungary",0,"HU","incoming"
"Italy","Ireland",0,"IE","incoming"
"Italy","Iceland",NA,"IS","incoming"
"Italy","Italy",NA,"IT","incoming"
"Italy","Liechtenstein",0,"LI","incoming"
"Italy","Lithuania",0,"LT","incoming"
"Italy","Luxembourg",0,"LU","incoming"
"Italy","Latvia",0,"LV","incoming"
"Italy","Malta",0,"MT","incoming"
"Italy","Netherlands",NA,"NL","incoming"
"Italy","Norway",NA,"NO","incoming"
"Italy","Poland",NA,"PL","incoming"
"Italy","Portugal",NA,"PT","incoming"
"Italy","Romania",0,"RO","incoming"
"Italy","Sweden",0,"SE","incoming"
"Italy","Slovenia",1,"SI","incoming"
"Italy","Slovakia",0,"SK","incoming"
"Italy","United Kingdom",0,"UK","incoming"
"Liechtenstein","Austria",NA,"AT","incoming"
"Liechtenstein","Belgium",0,"BE","incoming"
"Liechtenstein","Bulgaria",0,"BG","incoming"
"Liechtenstein","Switzerland",1,"CH","incoming"
"Liechtenstein","Cyprus",NA,"CY","incoming"
"Liechtenstein","Germany (until 1990 former territory of the FRG)",1,"DE","incoming"
"Liechtenstein","Denmark",0,"DK","incoming"
"Liechtenstein","Estonia",0,"EE","incoming"
"Liechtenstein","Greece",0,"EL","incoming"
"Liechtenstein","Spain",NA,"ES","incoming"
"Liechtenstein","Finland",NA,"FI","incoming"
"Liechtenstein","France",0,"FR","incoming"
"Liechtenstein","Croatia",0,"HR","incoming"
"Liechtenstein","Hungary",0,"HU","incoming"
"Liechtenstein","Ireland",0,"IE","incoming"
